event_date,avg_ai_sentiment,num_ai_articles,avg_nvda_relevance
2023-05-24 08:23:00,-0.584,1,0.639416
2023-05-28 00:38:45,0.9698,1,0.60587
2023-05-31 12:45:00,0.7844,1,0.733996
2023-06-01 19:59:53,0.8225,1,0.622874
2023-06-08 15:11:14,0.8131,1,0.649185
2023-06-13 06:28:50,0.7906,1,0.606552
2023-06-13 14:10:15,0.802,1,0.615826
2023-06-13 15:20:35,0.8074,1,0.704852
2023-06-16 15:09:49,0.2023,1,0.613513
2023-06-21 07:08:55,0.9274,1,0.60307
2023-06-28 20:35:00,0.875,1,0.551464
2023-06-29 15:26:27,0.9744,1,0.930134
2023-06-30 00:00:00,0.9825,1,0.639704
2023-06-30 00:29:21,0.9217,1,0.621136
2023-06-30 23:59:02,0.8765,1,0.715085
2023-07-03 15:25:20,0.9331,1,0.624262
2023-10-25 20:41:51,0.8176,1,0.0
2023-10-30 20:57:33,0.9081,1,0.730349
2023-11-10 20:05:00,0.9313,1,0.0
2023-12-06 00:00:00,0.6518066666666666,45,0.1035548
2023-12-07 15:10:56,0.6369,1,0.0
2024-02-12 16:56:47,0.836,1,0.0
2024-02-13 12:18:00,0.9042,1,0.0
2024-02-13 13:01:00,0.6597,1,0.0
2024-02-15 17:10:15,0.34,1,0.0
2024-02-21 00:00:00,0.9153,1,0.0
2024-02-21 11:30:00,0.7964,1,0.0
2024-02-22 00:00:00,0.9432,1,0.0
2024-02-23 00:00:00,0.9666,1,0.0
2024-02-27 17:01:14,0.891,1,0.0
2024-02-27 17:39:30,0.9353,1,0.0
2024-02-29 17:15:40,0.4767,1,0.0
2024-03-12 00:51:29,0.4404,1,0.0
2024-03-12 12:05:00,0.7964,1,0.718176
2024-03-12 16:17:17,0.9794,1,0.0
2024-03-14 16:07:03,0.8376,1,0.0
2024-03-14 16:23:44,0.1779,1,0.0
2024-03-14 16:37:41,0.8176,1,0.0
2024-03-17 16:37:05,0.6369,1,0.613536
2024-03-18 00:00:00,0.70865,4,0.64168025
2024-03-19 00:00:00,0.9062,1,0.61382
2024-03-20 16:21:36,0.9001,1,0.619632
2024-03-21 16:24:19,-0.0258,1,0.0
2024-03-22 00:00:00,0.9273,1,0.0
2024-03-22 15:40:14,0.6808,1,0.0
2024-03-25 00:00:00,0.5267,1,0.707129
2024-03-26 00:00:00,0.8442,1,0.850501
2024-03-28 18:01:00,0.9349,1,0.0
2024-04-02 00:00:00,0.9686,1,0.0
2024-04-03 15:34:48,0.6908,1,0.634748
2024-04-05 00:00:00,0.6705,1,0.0
2024-04-08 15:33:49,0.8779,1,0.68231
2024-04-09 00:00:00,0.5267,1,0.0
2024-04-17 14:33:45,0.5423,1,0.836081
2024-04-17 15:27:29,0.802,1,0.603791
2024-04-18 00:00:00,0.117225,20,0.0743097
2024-04-19 15:33:49,0.7269,1,0.605783
2024-04-19 20:09:37,0.3612,1,0.0
2024-04-22 00:00:00,0.9058,1,0.0
2024-04-24 00:00:00,0.9382,1,0.607132
2024-04-25 15:34:47,0.8979,1,0.576814
2024-04-29 20:24:00,0.9081,1,0.562607
2024-04-30 00:00:00,0.9062,1,0.894327
2024-04-30 14:26:53,0.9297,1,0.0
2024-05-06 05:00:00,0.965,1,0.0
